Created with UCDetector 2.0.0	2025-07-17 13:00:59	http://www.ucdetector.org/	Created by class: org.ucdetector.report.TextReport	
net.minecraft.src.MaterialLiquid.<init>(MaterialLiquid.java:3)	Change visibility of Class "MaterialLiquid" to default - May cause compile errors!	MaterialLiquid	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.MaterialLiquid.MaterialLiquid(MaterialLiquid.java:4)	Change visibility of Constructor "MaterialLiquid.MaterialLiquid(MapColor)" to default	MaterialLiquid.MaterialLiquid(MapColor)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.IPlant.<init>(IPlant.java:3)	Change visibility of Interface "IPlant" to default - May cause compile errors!	IPlant	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EnchantmentArrowDamage.<init>(EnchantmentArrowDamage.java:3)	Change visibility of Class "EnchantmentArrowDamage" to default - May cause compile errors!	EnchantmentArrowDamage	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EnchantmentArrowDamage.EnchantmentArrowDamage(EnchantmentArrowDamage.java:4)	Change visibility of Constructor "EnchantmentArrowDamage.EnchantmentArrowDamage(int,int)" to default	EnchantmentArrowDamage.EnchantmentArrowDamage(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemArmor.<init>(ItemArmor.java:3)	Change visibility of Class "ItemArmor" to default - May cause compile errors!	ItemArmor	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemArmor.ItemArmor(ItemArmor.java:10)	Change visibility of Constructor "ItemArmor.ItemArmor(int,EnumArmorMaterial,int,int)" to default	ItemArmor.ItemArmor(int,EnumArmorMaterial,int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemArmor.armorType(ItemArmor.java:5)	Change visibility of Field "ItemArmor.armorType" to default	ItemArmor.armorType	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemArmor.damageReduceAmount(ItemArmor.java:6)	Change visibility of Field "ItemArmor.damageReduceAmount" to default	ItemArmor.damageReduceAmount	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemArmor.renderIndex(ItemArmor.java:7)	Change visibility of Field "ItemArmor.renderIndex" to default	ItemArmor.renderIndex	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldSettings.WorldSettings(WorldSettings.java:23)	Change visibility of Constructor "WorldSettings.WorldSettings(long,int,boolean,boolean,WorldType)" to default	WorldSettings.WorldSettings(long,int,boolean,boolean,WorldType)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.WorldSettings.validGameType(WorldSettings.java:53)	Method "WorldSettings.validGameType(int)" has 0 references	WorldSettings.validGameType(int)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntityEgg.<init>(EntityEgg.java:3)	Change visibility of Class "EntityEgg" to default - May cause compile errors!	EntityEgg	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityEgg.EntityEgg(EntityEgg.java:4)	Constructor "EntityEgg.EntityEgg(World)" has 0 references	EntityEgg.EntityEgg(World)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntityEgg.EntityEgg(EntityEgg.java:8)	Change visibility of Constructor "EntityEgg.EntityEgg(World,EntityLiving)" to default	EntityEgg.EntityEgg(World,EntityLiving)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityEgg.EntityEgg(EntityEgg.java:12)	Change visibility of Constructor "EntityEgg.EntityEgg(World,double,double,double)" to default	EntityEgg.EntityEgg(World,double,double,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet43Experience.<init>(Packet43Experience.java:7)	Change visibility of Class "Packet43Experience" to default - May cause compile errors!	Packet43Experience	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet43Experience.Packet43Experience(Packet43Experience.java:15)	Constructor "Packet43Experience.Packet43Experience(float,int,int)" has 0 references	Packet43Experience.Packet43Experience(float,int,int)	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.Packet43Experience.experience(Packet43Experience.java:8)	Change visibility of Field "Packet43Experience.experience" to default	Packet43Experience.experience	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet43Experience.experienceTotal(Packet43Experience.java:9)	Change visibility of Field "Packet43Experience.experienceTotal" to default	Packet43Experience.experienceTotal	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet43Experience.experienceLevel(Packet43Experience.java:10)	Change visibility of Field "Packet43Experience.experienceLevel" to default	Packet43Experience.experienceLevel	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ColorizerFoliage.getFoliageColor(ColorizerFoliage.java:10)	Change visibility of Method "ColorizerFoliage.getFoliageColor(double,double)" to default	ColorizerFoliage.getFoliageColor(double,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ColorizerFoliage.getFoliageColorPine(ColorizerFoliage.java:21)	Change visibility of Method "ColorizerFoliage.getFoliageColorPine()" to default	ColorizerFoliage.getFoliageColorPine()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ColorizerFoliage.getFoliageColorBirch(ColorizerFoliage.java:25)	Change visibility of Method "ColorizerFoliage.getFoliageColorBirch()" to default	ColorizerFoliage.getFoliageColorBirch()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ColorizerFoliage.getFoliageColorBasic(ColorizerFoliage.java:29)	Change visibility of Method "ColorizerFoliage.getFoliageColorBasic()" to default	ColorizerFoliage.getFoliageColorBasic()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemFishingRod.<init>(ItemFishingRod.java:3)	Change visibility of Class "ItemFishingRod" to default - May cause compile errors!	ItemFishingRod	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemFishingRod.ItemFishingRod(ItemFishingRod.java:4)	Change visibility of Constructor "ItemFishingRod.ItemFishingRod(int)" to default	ItemFishingRod.ItemFishingRod(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeCache.<init>(BiomeCache.java:6)	Change visibility of Class "BiomeCache" to default - May cause compile errors!	BiomeCache	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeCache.BiomeCache(BiomeCache.java:12)	Change visibility of Constructor "BiomeCache.BiomeCache(WorldChunkManager)" to default	BiomeCache.BiomeCache(WorldChunkManager)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeCache.getBiomeCacheBlock(BiomeCache.java:16)	Change visibility of Method "BiomeCache.getBiomeCacheBlock(int,int)" to private	BiomeCache.getBiomeCacheBlock(int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeCache.getBiomeGenAt(BiomeCache.java:31)	Change visibility of Method "BiomeCache.getBiomeGenAt(int,int)" to default	BiomeCache.getBiomeGenAt(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeCache.cleanupCache(BiomeCache.java:35)	Change visibility of Method "BiomeCache.cleanupCache()" to default	BiomeCache.cleanupCache()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeCache.getCachedBiomes(BiomeCache.java:54)	Change visibility of Method "BiomeCache.getCachedBiomes(int,int)" to default	BiomeCache.getCachedBiomes(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet108EnchantItem.<init>(Packet108EnchantItem.java:7)	Change visibility of Class "Packet108EnchantItem" to default - May cause compile errors!	Packet108EnchantItem	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet108EnchantItem.Packet108EnchantItem(Packet108EnchantItem.java:14)	Change visibility of Constructor "Packet108EnchantItem.Packet108EnchantItem(int,int)" to default	Packet108EnchantItem.Packet108EnchantItem(int,int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.Packet108EnchantItem.windowId(Packet108EnchantItem.java:8)	Change visibility of Field "Packet108EnchantItem.windowId" to private	Packet108EnchantItem.windowId	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.Packet108EnchantItem.enchantment(Packet108EnchantItem.java:9)	Change visibility of Field "Packet108EnchantItem.enchantment" to private	Packet108EnchantItem.enchantment	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityFishHook.<init>(EntityFishHook.java:5)	Change visibility of Class "EntityFishHook" to default - May cause compile errors!	EntityFishHook	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityFishHook.EntityFishHook(EntityFishHook.java:27)	Change visibility of Constructor "EntityFishHook.EntityFishHook(World)" to private	EntityFishHook.EntityFishHook(World)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityFishHook.EntityFishHook(EntityFishHook.java:42)	Change visibility of Constructor "EntityFishHook.EntityFishHook(World,double,double,double)" to default	EntityFishHook.EntityFishHook(World,double,double,double)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityFishHook.EntityFishHook(EntityFishHook.java:48)	Change visibility of Constructor "EntityFishHook.EntityFishHook(World,EntityPlayer)" to default	EntityFishHook.EntityFishHook(World,EntityPlayer)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityFishHook.calculateVelocity(EntityFishHook.java:85)	Change visibility of Method "EntityFishHook.calculateVelocity(double,double,double,float,float)" to private	EntityFishHook.calculateVelocity(double,double,double,float,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityFishHook.catchFish(EntityFishHook.java:346)	Change visibility of Method "EntityFishHook.catchFish()" to default	EntityFishHook.catchFish()	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityFishHook.shake(EntityFishHook.java:11)	Change visibility of Field "EntityFishHook.shake" to private	EntityFishHook.shake	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityFishHook.angler(EntityFishHook.java:12)	Change visibility of Field "EntityFishHook.angler" to default	EntityFishHook.angler	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityFishHook.bobber(EntityFishHook.java:16)	Change visibility of Field "EntityFishHook.bobber" to private	EntityFishHook.bobber	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityTameable.<init>(EntityTameable.java:3)	Change visibility of Class "EntityTameable" to default - May cause compile errors!	EntityTameable	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityTameable.EntityTameable(EntityTameable.java:6)	Change visibility of Constructor "EntityTameable.EntityTameable(World)" to default	EntityTameable.EntityTameable(World)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderSlime.<init>(RenderSlime.java:5)	Change visibility of Class "RenderSlime" to default - May cause compile errors!	RenderSlime	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderSlime.RenderSlime(RenderSlime.java:8)	Change visibility of Constructor "RenderSlime.RenderSlime(ModelBase,ModelBase,float)" to default	RenderSlime.RenderSlime(ModelBase,ModelBase,float)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.RenderSlime.func_40287_a(RenderSlime.java:13)	Change visibility of Method "RenderSlime.func_40287_a(EntitySlime,int,float)" to private	RenderSlime.func_40287_a(EntitySlime,int,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.RenderSlime.scaleSlime(RenderSlime.java:30)	Change visibility of Method "RenderSlime.scaleSlime(EntitySlime,float)" to private	RenderSlime.scaleSlime(EntitySlime,float)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.LogoEffectRandomizer.dropSpeed(LogoEffectRandomizer.java:6)	Change visibility of Field "LogoEffectRandomizer.dropSpeed" to private	LogoEffectRandomizer.dropSpeed	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.LogoEffectRandomizer.mainMenu(LogoEffectRandomizer.java:7)	Change visibility of Field "LogoEffectRandomizer.mainMenu" to private	LogoEffectRandomizer.mainMenu	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.LogoEffectRandomizer.mainMenu(LogoEffectRandomizer.java:7)	Field "LogoEffectRandomizer.mainMenu" is never read	LogoEffectRandomizer.mainMenu	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.ItemBoat.<init>(ItemBoat.java:5)	Change visibility of Class "ItemBoat" to default - May cause compile errors!	ItemBoat	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ItemBoat.ItemBoat(ItemBoat.java:6)	Change visibility of Constructor "ItemBoat.ItemBoat(int)" to default	ItemBoat.ItemBoat(int)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BlockGrass.<init>(BlockGrass.java:5)	Change visibility of Class "BlockGrass" to default - May cause compile errors!	BlockGrass	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.ModelSheep2.<init>(ModelSheep2.java:3)	Change visibility of Class "ModelSheep2" to default - May cause compile errors!	ModelSheep2	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.<init>(BiomeDecorator.java:5)	Change visibility of Class "BiomeDecorator" to default - May cause compile errors!	BiomeDecorator	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.BiomeDecorator(BiomeDecorator.java:50)	Change visibility of Constructor "BiomeDecorator.BiomeDecorator(BiomeGenBase)" to default	BiomeDecorator.BiomeDecorator(BiomeGenBase)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.decorate(BiomeDecorator.java:54)	Change visibility of Method "BiomeDecorator.decorate(World,Random,int,int,boolean)" to default	BiomeDecorator.decorate(World,Random,int,int,boolean)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.decorate(BiomeDecorator.java:74)	Change visibility of Method "BiomeDecorator.decorate()" to private	BiomeDecorator.decorate()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.genStandardOre1(BiomeDecorator.java:252)	Change visibility of Method "BiomeDecorator.genStandardOre1(int,WorldGenerator,int,int)" to private	BiomeDecorator.genStandardOre1(int,WorldGenerator,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.genStandardOre2(BiomeDecorator.java:262)	Change visibility of Method "BiomeDecorator.genStandardOre2(int,WorldGenerator,int,int)" to private	BiomeDecorator.genStandardOre2(int,WorldGenerator,int,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.generateOres(BiomeDecorator.java:272)	Change visibility of Method "BiomeDecorator.generateOres()" to private	BiomeDecorator.generateOres()	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.currentWorld(BiomeDecorator.java:6)	Change visibility of Field "BiomeDecorator.currentWorld" to private	BiomeDecorator.currentWorld	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.randomGenerator(BiomeDecorator.java:7)	Change visibility of Field "BiomeDecorator.randomGenerator" to private	BiomeDecorator.randomGenerator	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.chunk_X(BiomeDecorator.java:8)	Change visibility of Field "BiomeDecorator.chunk_X" to private	BiomeDecorator.chunk_X	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.chunk_Z(BiomeDecorator.java:9)	Change visibility of Field "BiomeDecorator.chunk_Z" to private	BiomeDecorator.chunk_Z	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.biome(BiomeDecorator.java:10)	Change visibility of Field "BiomeDecorator.biome" to private	BiomeDecorator.biome	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.clayGen(BiomeDecorator.java:11)	Change visibility of Field "BiomeDecorator.clayGen" to private	BiomeDecorator.clayGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.sandGen(BiomeDecorator.java:12)	Change visibility of Field "BiomeDecorator.sandGen" to private	BiomeDecorator.sandGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.gravelAsSandGen(BiomeDecorator.java:13)	Field "BiomeDecorator.gravelAsSandGen" has 0 references	BiomeDecorator.gravelAsSandGen	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.BiomeDecorator.dirtGen(BiomeDecorator.java:14)	Change visibility of Field "BiomeDecorator.dirtGen" to private	BiomeDecorator.dirtGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.gravelGen(BiomeDecorator.java:15)	Change visibility of Field "BiomeDecorator.gravelGen" to private	BiomeDecorator.gravelGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.coalGen(BiomeDecorator.java:16)	Change visibility of Field "BiomeDecorator.coalGen" to private	BiomeDecorator.coalGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.ironGen(BiomeDecorator.java:17)	Change visibility of Field "BiomeDecorator.ironGen" to private	BiomeDecorator.ironGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.goldGen(BiomeDecorator.java:18)	Change visibility of Field "BiomeDecorator.goldGen" to private	BiomeDecorator.goldGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.redstoneGen(BiomeDecorator.java:19)	Change visibility of Field "BiomeDecorator.redstoneGen" to private	BiomeDecorator.redstoneGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.diamondGen(BiomeDecorator.java:20)	Change visibility of Field "BiomeDecorator.diamondGen" to private	BiomeDecorator.diamondGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.lapisGen(BiomeDecorator.java:21)	Change visibility of Field "BiomeDecorator.lapisGen" to private	BiomeDecorator.lapisGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.plantYellowGen(BiomeDecorator.java:22)	Change visibility of Field "BiomeDecorator.plantYellowGen" to private	BiomeDecorator.plantYellowGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.plantRedGen(BiomeDecorator.java:23)	Change visibility of Field "BiomeDecorator.plantRedGen" to private	BiomeDecorator.plantRedGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.mushroomBrownGen(BiomeDecorator.java:24)	Change visibility of Field "BiomeDecorator.mushroomBrownGen" to private	BiomeDecorator.mushroomBrownGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.mushroomRedGen(BiomeDecorator.java:25)	Change visibility of Field "BiomeDecorator.mushroomRedGen" to private	BiomeDecorator.mushroomRedGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.bigMushroomGen(BiomeDecorator.java:26)	Change visibility of Field "BiomeDecorator.bigMushroomGen" to private	BiomeDecorator.bigMushroomGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.reedGen(BiomeDecorator.java:27)	Change visibility of Field "BiomeDecorator.reedGen" to private	BiomeDecorator.reedGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.cactusGen(BiomeDecorator.java:28)	Change visibility of Field "BiomeDecorator.cactusGen" to private	BiomeDecorator.cactusGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.waterlilyGen(BiomeDecorator.java:29)	Change visibility of Field "BiomeDecorator.waterlilyGen" to private	BiomeDecorator.waterlilyGen	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.waterlilyPerChunk(BiomeDecorator.java:30)	Change visibility of Field "BiomeDecorator.waterlilyPerChunk" to private	BiomeDecorator.waterlilyPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.treesPerChunk(BiomeDecorator.java:31)	Change visibility of Field "BiomeDecorator.treesPerChunk" to private	BiomeDecorator.treesPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.flowersPerChunk(BiomeDecorator.java:32)	Change visibility of Field "BiomeDecorator.flowersPerChunk" to default	BiomeDecorator.flowersPerChunk	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.grassPerChunk(BiomeDecorator.java:33)	Change visibility of Field "BiomeDecorator.grassPerChunk" to default	BiomeDecorator.grassPerChunk	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.deadBushPerChunk(BiomeDecorator.java:34)	Field "BiomeDecorator.deadBushPerChunk" has 0 references	BiomeDecorator.deadBushPerChunk	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.BiomeDecorator.mushroomsPerChunk(BiomeDecorator.java:35)	Change visibility of Field "BiomeDecorator.mushroomsPerChunk" to default	BiomeDecorator.mushroomsPerChunk	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.reedsPerChunk(BiomeDecorator.java:36)	Change visibility of Field "BiomeDecorator.reedsPerChunk" to private	BiomeDecorator.reedsPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.cactiPerChunk(BiomeDecorator.java:37)	Change visibility of Field "BiomeDecorator.cactiPerChunk" to default	BiomeDecorator.cactiPerChunk	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.sandPerChunk(BiomeDecorator.java:38)	Change visibility of Field "BiomeDecorator.sandPerChunk" to private	BiomeDecorator.sandPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.sandPerChunk2(BiomeDecorator.java:39)	Change visibility of Field "BiomeDecorator.sandPerChunk2" to private	BiomeDecorator.sandPerChunk2	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.clayPerChunk(BiomeDecorator.java:40)	Change visibility of Field "BiomeDecorator.clayPerChunk" to private	BiomeDecorator.clayPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.bigMushroomsPerChunk(BiomeDecorator.java:41)	Change visibility of Field "BiomeDecorator.bigMushroomsPerChunk" to private	BiomeDecorator.bigMushroomsPerChunk	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.pumpkinChance(BiomeDecorator.java:42)	Change visibility of Field "BiomeDecorator.pumpkinChance" to default	BiomeDecorator.pumpkinChance	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.BiomeDecorator.generateLakes(BiomeDecorator.java:43)	Change visibility of Field "BiomeDecorator.generateLakes" to private	BiomeDecorator.generateLakes	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.hadFeature(BiomeDecorator.java:44)	Change visibility of Field "BiomeDecorator.hadFeature" to private	BiomeDecorator.hadFeature	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.maxTerrainHeight(BiomeDecorator.java:46)	Change visibility of Field "BiomeDecorator.maxTerrainHeight" to private	BiomeDecorator.maxTerrainHeight	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.BiomeDecorator.mobSpawnerNoise(BiomeDecorator.java:48)	Change visibility of Field "BiomeDecorator.mobSpawnerNoise" to private	BiomeDecorator.mobSpawnerNoise	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGenerator2.<init>(NoiseGenerator2.java:5)	Change visibility of Class "NoiseGenerator2" to default - May cause compile errors!	NoiseGenerator2	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGenerator2.NoiseGenerator2(NoiseGenerator2.java:18)	Change visibility of Constructor "NoiseGenerator2.NoiseGenerator2(Random)" to default	NoiseGenerator2.NoiseGenerator2(Random)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGenerator2.generateNoise(NoiseGenerator2.java:46)	Change visibility of Method "NoiseGenerator2.generateNoise(float[],double,double,int,int,double,*,*)" to default	NoiseGenerator2.generateNoise(float[],double,double,int,int,double,*,*)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.NoiseGenerator2.field_4292_a(NoiseGenerator2.java:8)	Change visibility of Field "NoiseGenerator2.field_4292_a" to private	NoiseGenerator2.field_4292_a	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGenerator2.field_4291_b(NoiseGenerator2.java:9)	Change visibility of Field "NoiseGenerator2.field_4291_b" to private	NoiseGenerator2.field_4291_b	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGenerator2.field_4297_c(NoiseGenerator2.java:10)	Change visibility of Field "NoiseGenerator2.field_4297_c" to private	NoiseGenerator2.field_4297_c	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.NoiseGenerator2.field_4297_c(NoiseGenerator2.java:10)	Field "NoiseGenerator2.field_4297_c" is never read	NoiseGenerator2.field_4297_c	org.ucdetector.analyzeMarkerReference	
net.minecraft.src.EntityVillager.<init>(EntityVillager.java:3)	Change visibility of Class "EntityVillager" to default - May cause compile errors!	EntityVillager	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityVillager.EntityVillager(EntityVillager.java:9)	Change visibility of Constructor "EntityVillager.EntityVillager(World)" to default	EntityVillager.EntityVillager(World)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.EntityVillager.EntityVillager(EntityVillager.java:13)	Change visibility of Constructor "EntityVillager.EntityVillager(World,int)" to private	EntityVillager.EntityVillager(World,int)	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.EntityVillager.villageObj(EntityVillager.java:7)	Change visibility of Field "EntityVillager.villageObj" to private	EntityVillager.villageObj	org.ucdetector.analyzeMarkerVisibilityPrivate	
net.minecraft.src.GuiSmallButton.<init>(GuiSmallButton.java:3)	Change visibility of Class "GuiSmallButton" to default - May cause compile errors!	GuiSmallButton	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiSmallButton.GuiSmallButton(GuiSmallButton.java:6)	Change visibility of Constructor "GuiSmallButton.GuiSmallButton(int,int,int,String)" to default	GuiSmallButton.GuiSmallButton(int,int,int,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiSmallButton.GuiSmallButton(GuiSmallButton.java:10)	Change visibility of Constructor "GuiSmallButton.GuiSmallButton(int,int,int,int,int,String)" to default	GuiSmallButton.GuiSmallButton(int,int,int,int,int,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiSmallButton.GuiSmallButton(GuiSmallButton.java:15)	Change visibility of Constructor "GuiSmallButton.GuiSmallButton(int,int,int,EnumOptions,String)" to default	GuiSmallButton.GuiSmallButton(int,int,int,EnumOptions,String)	org.ucdetector.analyzeMarkerVisibilityDefault	
net.minecraft.src.GuiSmallButton.returnEnumOptions(GuiSmallButton.java:20)	Change visibility of Method "GuiSmallButton.returnEnumOptions()" to default	GuiSmallButton.returnEnumOptions()	org.ucdetector.analyzeMarkerVisibilityDefault	
